ID,LONG,LAT,SUB_Basin,Elevation,AAP(mm),RiverDIST(m),FaultDIST(m),Landuse_Type,Slop(Percent),Slop(Degrees),GEO_UNIT,DES_GEOUNI,Climate_Type,DES_ClimateType
1,52.326,27.763,Mehran,617,137,1448.705292,40639.5789,poorrange,42.2406693,22.8995228,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
2,52.333,27.772,Mehran,944,137,344.2994837,40135.02913,mix(woodland_x),68.2191162,34.3014641,KEpd-gu,Keewatin Epedotic quartz diorite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
3,52.326,27.763,Mehran,617,137,1448.705292,40639.5789,poorrange,42.2406693,22.8995228,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
4,52.333,27.694,Mehran,55,137,1889.828623,42189.54442,rock,12.1417656,6.9228325,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
5,52.324,27.682,Mehran,20,137,874.2016906,43010.084,poorrange,2.2162299,1.2695984,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
6,52.313,27.775,Mehran,616,137,404.8089532,38850.08367,poorrange,12.9352999,7.3704548,OMr,Opemiska mafic rocks,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
7,52.313,27.685,Mehran,31,137,214.0573525,44108.08706,rock,8.1982002,4.6867418,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
8,53.167,27.486,Mehran,938,128,942.2903776,41978.69755,poorrange,38.0811234,20.8473949,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
9,53.173,27.483,Mehran,997,128,923.985226,42012.63072,poorrange,36.4768181,20.0403614,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
10,53.177,27.481,Mehran,982,128,630.3981552,42041.32242,poorrange,38.5856361,21.0994263,OMr,Opemiska mafic rocks,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
